img, label, ecd.nm, minor.ax.len.nm, major.ax.len.nm, ar, solidity
4, 71, 85.1888, 84.3243, 86.236, 1.02267, 0.981496
4, 72, 73.0865, 72.8801, 73.4404, 1.00769, 0.979381
4, 73, 85.8682, 85.2636, 86.5594, 1.0152, 0.986954
4, 74, 71.1504, 68.7973, 73.6387, 1.07037, 0.980399
4, 75, 67.6531, 66.8529, 68.5185, 1.02491, 0.980723
4, 76, 80.4942, 80.3671, 80.7378, 1.00461, 0.979875
4, 77, 72.791, 71.7067, 74.0481, 1.03265, 0.980576
5, 1, 79.5927, 77.912, 81.4364, 1.04524, 0.980278
5, 3, 58.5653, 57.3248, 60.0017, 1.0467, 0.985991
5, 4, 76.4825, 75.7131, 77.334, 1.02141, 0.985786
5, 5, 88.0983, 87.0009, 89.346, 1.02695, 0.984312
5, 6, 89.9927, 88.5093, 91.5811, 1.03471, 0.982045
5, 8, 88.6497, 86.5749, 90.8453, 1.04933, 0.98036
5, 9, 82.3245, 80.6349, 84.1662, 1.04379, 0.982876
5, 10, 77.1413, 75.8384, 78.6101, 1.03655, 0.983277
5, 11, 80.3544, 79.6588, 81.1326, 1.0185, 0.982882
5, 12, 70.1289, 69.5927, 70.7781, 1.01703, 0.97947
5, 13, 79.1322, 78.8583, 79.5741, 1.00908, 0.985546
5, 14, 87.6932, 86.8492, 88.6186, 1.02037, 0.985587
5, 15, 95.9596, 95.2427, 96.7696, 1.01603, 0.983387
5, 16, 79.3214, 78.217, 80.5935, 1.03038, 0.982441
5, 17, 84.2041, 82.1627, 86.3488, 1.05095, 0.9849
5, 18, 76.0031, 75.4519, 76.7185, 1.01679, 0.976553
5, 19, 77.1291, 76.1577, 78.2102, 1.02695, 0.982967
5, 20, 87.9812, 86.5421, 89.5243, 1.03446, 0.984036
5, 21, 73.763, 72.9702, 74.7415, 1.02427, 0.983068
5, 22, 69.1058, 68.1398, 70.1275, 1.02917, 0.98
5, 23, 78.2509, 77.6831, 79.0008, 1.01696, 0.984333
5, 24, 68.6705, 68.2927, 69.2563, 1.01411, 0.982045
5, 25, 65.6281, 65.2888, 66.1761, 1.01359, 0.978289
5, 26, 66.8869, 66.6163, 67.3114, 1.01043, 0.971906
5, 27, 63.4353, 62.3646, 64.7662, 1.03851, 0.979024
5, 28, 73.1762, 72.3923, 74.1171, 1.02383, 0.98145
5, 29, 79.9334, 78.0961, 81.8978, 1.04868, 0.981007
5, 30, 79.8044, 79.5409, 80.1433, 1.00757, 0.983502
5, 31, 92.1027, 91.1459, 93.1358, 1.02183, 0.984769
5, 32, 82.5405, 81.9775, 83.2379, 1.01537, 0.98323
5, 33, 72.0925, 71.9589, 72.3655, 1.00565, 0.982288
